Filename,Result,Runtime (s),Memory Usage (KB)
sw100-1.cnf,1,0.024364471435546875,1464.0
sw100-10.cnf,1,0.015737295150756836,0.0
sw100-100.cnf,1,0.01551055908203125,264.0
sw100-11.cnf,1,0.01654672622680664,0.0
sw100-12.cnf,1,0.013129234313964844,0.0
sw100-13.cnf,1,0.019589900970458984,0.0
sw100-14.cnf,1,0.035449981689453125,0.0
sw100-15.cnf,1,0.01938486099243164,0.0
sw100-16.cnf,1,0.011732101440429688,0.0
sw100-17.cnf,1,0.01337885856628418,0.0
sw100-18.cnf,1,0.010473966598510742,0.0
sw100-19.cnf,1,0.013827323913574219,0.0
sw100-2.cnf,1,0.019800186157226562,0.0
sw100-20.cnf,1,0.011050224304199219,0.0
sw100-21.cnf,1,0.018627166748046875,0.0
sw100-22.cnf,1,0.05266976356506348,0.0
sw100-23.cnf,1,0.01570272445678711,0.0
sw100-24.cnf,1,0.012919425964355469,0.0
sw100-25.cnf,1,0.01319122314453125,0.0
sw100-26.cnf,1,0.011306524276733398,0.0
sw100-27.cnf,1,0.08541035652160645,0.0
sw100-28.cnf,1,0.015630006790161133,0.0
sw100-29.cnf,1,0.015036344528198242,0.0
sw100-3.cnf,1,0.016896486282348633,0.0
sw100-30.cnf,1,0.011525869369506836,0.0
sw100-31.cnf,1,0.011812925338745117,0.0
sw100-32.cnf,1,0.021528244018554688,0.0
sw100-33.cnf,1,0.014585494995117188,0.0
sw100-34.cnf,1,0.023445844650268555,0.0
sw100-35.cnf,1,0.01552891731262207,0.0
sw100-36.cnf,1,0.023228168487548828,0.0
sw100-37.cnf,1,0.014810800552368164,0.0
sw100-38.cnf,1,0.010779380798339844,0.0
sw100-39.cnf,1,0.013654232025146484,0.0
sw100-4.cnf,1,0.013677835464477539,0.0
sw100-40.cnf,1,0.012189388275146484,0.0
sw100-41.cnf,1,0.015300750732421875,0.0
sw100-42.cnf,1,0.011139154434204102,0.0
sw100-43.cnf,1,0.011008977890014648,0.0
sw100-44.cnf,1,0.011522054672241211,0.0
sw100-45.cnf,1,0.03191113471984863,0.0
sw100-46.cnf,1,0.011664628982543945,0.0
sw100-47.cnf,1,0.011178016662597656,0.0
sw100-48.cnf,1,0.013487100601196289,0.0
sw100-49.cnf,1,0.4480288028717041,0.0
sw100-5.cnf,1,0.01473546028137207,0.0
sw100-50.cnf,1,0.01248931884765625,0.0
sw100-51.cnf,1,0.010828018188476562,0.0
sw100-52.cnf,1,0.010603666305541992,0.0
sw100-53.cnf,1,0.05365705490112305,0.0
sw100-54.cnf,1,0.015999317169189453,0.0
sw100-55.cnf,1,0.014235496520996094,0.0
sw100-56.cnf,1,0.03574872016906738,0.0
sw100-57.cnf,1,0.04542970657348633,0.0
sw100-58.cnf,1,0.023921489715576172,0.0
sw100-59.cnf,1,0.019379854202270508,0.0
sw100-6.cnf,1,0.03303098678588867,0.0
sw100-60.cnf,1,0.011986255645751953,0.0
sw100-61.cnf,1,0.051119327545166016,0.0
sw100-62.cnf,1,0.010800361633300781,0.0
sw100-63.cnf,1,0.010982751846313477,0.0
sw100-64.cnf,1,0.010969400405883789,0.0
sw100-65.cnf,1,0.020977497100830078,0.0
sw100-66.cnf,1,0.010576009750366211,0.0
sw100-67.cnf,1,0.014464616775512695,0.0
sw100-68.cnf,1,0.02587890625,0.0
sw100-69.cnf,1,0.028726816177368164,0.0
sw100-7.cnf,1,0.011322975158691406,0.0
sw100-70.cnf,1,0.01806497573852539,0.0
sw100-71.cnf,1,0.012916326522827148,0.0
sw100-72.cnf,1,0.01775836944580078,0.0
sw100-73.cnf,1,0.017792940139770508,0.0
sw100-74.cnf,1,0.016666412353515625,0.0
sw100-75.cnf,1,0.021366119384765625,0.0
sw100-76.cnf,1,0.011100292205810547,0.0
sw100-77.cnf,1,0.013651371002197266,0.0
sw100-78.cnf,1,0.02290058135986328,0.0
sw100-79.cnf,1,0.011793136596679688,0.0
sw100-8.cnf,1,0.013353347778320312,0.0
sw100-80.cnf,1,0.013349056243896484,0.0
sw100-81.cnf,1,0.015199899673461914,0.0
sw100-82.cnf,1,0.021857023239135742,0.0
sw100-83.cnf,1,0.01830267906188965,0.0
sw100-84.cnf,1,0.013846635818481445,0.0
sw100-85.cnf,1,0.015431404113769531,0.0
sw100-86.cnf,1,0.011915922164916992,0.0
sw100-87.cnf,1,0.018119096755981445,0.0
sw100-88.cnf,1,0.010986804962158203,0.0
sw100-89.cnf,1,0.014803409576416016,0.0
sw100-9.cnf,1,0.01072835922241211,0.0
sw100-90.cnf,1,0.010913610458374023,0.0
sw100-91.cnf,1,0.014107465744018555,0.0
sw100-92.cnf,1,0.01932835578918457,0.0
sw100-93.cnf,1,0.01723194122314453,0.0
sw100-94.cnf,1,0.01664590835571289,0.0
sw100-95.cnf,1,0.014663457870483398,0.0
sw100-96.cnf,1,0.020243167877197266,0.0
sw100-97.cnf,1,0.012163877487182617,0.0
sw100-98.cnf,1,0.041086673736572266,0.0
sw100-99.cnf,1,0.013399839401245117,0.0
