Filename,Result,Runtime (s),Memory Usage (KB)
uf75-01.cnf,1,0.015135765075683594,0.0
uf75-010.cnf,1,0.0029883384704589844,0.0
uf75-0100.cnf,1,0.008400917053222656,0.0
uf75-012.cnf,1,0.00229644775390625,0.0
uf75-013.cnf,1,0.002227306365966797,0.0
uf75-011.cnf,1,0.008713722229003906,0.0
uf75-014.cnf,1,0.007650852203369141,0.0
uf75-015.cnf,1,0.006003856658935547,388.0
uf75-016.cnf,1,0.002972126007080078,0.0
uf75-017.cnf,1,0.007884979248046875,0.0
uf75-018.cnf,1,0.006340742111206055,0.0
uf75-019.cnf,1,0.013577699661254883,0.0
uf75-02.cnf,1,0.013664722442626953,0.0
uf75-020.cnf,1,0.011711597442626953,0.0
uf75-021.cnf,1,0.013957500457763672,0.0
uf75-022.cnf,1,0.0021169185638427734,0.0
uf75-023.cnf,1,0.0067327022552490234,0.0
uf75-024.cnf,1,0.005415678024291992,0.0
uf75-025.cnf,1,0.0017008781433105469,0.0
uf75-026.cnf,1,0.006054878234863281,0.0
uf75-027.cnf,1,0.010115861892700195,0.0
uf75-028.cnf,1,0.0030617713928222656,0.0
uf75-029.cnf,1,0.00490570068359375,0.0
uf75-03.cnf,1,0.008847951889038086,0.0
uf75-031.cnf,1,0.012861967086791992,0.0
uf75-032.cnf,1,0.013140439987182617,0.0
uf75-030.cnf,1,0.015364646911621094,0.0
uf75-033.cnf,1,0.0023224353790283203,0.0
uf75-034.cnf,1,0.008661270141601562,0.0
uf75-035.cnf,1,0.008111953735351562,0.0
uf75-036.cnf,1,0.0037384033203125,0.0
uf75-037.cnf,1,0.023151874542236328,0.0
uf75-038.cnf,1,0.011623144149780273,0.0
uf75-039.cnf,1,0.006741046905517578,0.0
uf75-04.cnf,1,0.004114389419555664,0.0
uf75-040.cnf,1,0.008402824401855469,0.0
uf75-041.cnf,1,0.02370429039001465,0.0
uf75-042.cnf,1,0.00968170166015625,0.0
uf75-043.cnf,1,0.0020072460174560547,0.0
uf75-044.cnf,1,0.023088693618774414,0.0
uf75-045.cnf,1,0.008980035781860352,0.0
uf75-046.cnf,1,0.008833646774291992,0.0
uf75-047.cnf,1,0.010146379470825195,0.0
uf75-048.cnf,1,0.014166116714477539,0.0
uf75-049.cnf,1,0.00807642936706543,0.0
uf75-05.cnf,1,0.0037550926208496094,0.0
uf75-050.cnf,1,0.0038645267486572266,0.0
uf75-051.cnf,1,0.015857458114624023,0.0
uf75-052.cnf,1,0.007621049880981445,0.0
uf75-053.cnf,1,0.00664210319519043,0.0
uf75-054.cnf,1,0.006484270095825195,0.0
uf75-055.cnf,1,0.02117919921875,0.0
uf75-056.cnf,1,0.00313568115234375,0.0
uf75-057.cnf,1,0.014219284057617188,0.0
uf75-058.cnf,1,0.010971546173095703,0.0
uf75-059.cnf,1,0.014328956604003906,0.0
uf75-06.cnf,1,0.009165763854980469,0.0
uf75-060.cnf,1,0.016878128051757812,0.0
uf75-061.cnf,1,0.008507728576660156,0.0
uf75-062.cnf,1,0.006009578704833984,0.0
uf75-063.cnf,1,0.0018630027770996094,0.0
uf75-064.cnf,1,0.0038809776306152344,0.0
uf75-066.cnf,1,0.022382497787475586,0.0
uf75-065.cnf,1,0.008518457412719727,0.0
uf75-067.cnf,1,0.01848316192626953,0.0
uf75-068.cnf,1,0.006634950637817383,0.0
uf75-069.cnf,1,0.02034759521484375,0.0
uf75-07.cnf,1,0.0027527809143066406,0.0
uf75-070.cnf,1,0.004659175872802734,0.0
uf75-071.cnf,1,0.0077702999114990234,0.0
uf75-072.cnf,1,0.01744675636291504,0.0
uf75-073.cnf,1,0.0031769275665283203,0.0
uf75-074.cnf,1,0.0034890174865722656,0.0
uf75-075.cnf,1,0.008004188537597656,0.0
uf75-076.cnf,1,0.0145263671875,0.0
uf75-077.cnf,1,0.0025186538696289062,0.0
uf75-078.cnf,1,0.00989842414855957,0.0
uf75-079.cnf,1,0.004403352737426758,0.0
uf75-08.cnf,1,0.013853311538696289,0.0
uf75-080.cnf,1,0.0022919178009033203,0.0
uf75-081.cnf,1,0.012884855270385742,0.0
uf75-082.cnf,1,0.00467371940612793,0.0
uf75-083.cnf,1,0.005655050277709961,0.0
uf75-084.cnf,1,0.007063388824462891,0.0
uf75-085.cnf,1,0.007218360900878906,0.0
uf75-086.cnf,1,0.005888223648071289,0.0
uf75-087.cnf,1,0.0033299922943115234,0.0
uf75-088.cnf,1,0.005600452423095703,0.0
uf75-089.cnf,1,0.00933837890625,0.0
uf75-09.cnf,1,0.0018215179443359375,0.0
uf75-090.cnf,1,0.011800765991210938,0.0
uf75-091.cnf,1,0.006452798843383789,0.0
uf75-092.cnf,1,0.001950979232788086,0.0
uf75-093.cnf,1,0.0059168338775634766,0.0
uf75-094.cnf,1,0.005957603454589844,0.0
uf75-095.cnf,1,0.0039615631103515625,0.0
uf75-096.cnf,1,0.013895273208618164,0.0
uf75-097.cnf,1,0.0038635730743408203,0.0
uf75-098.cnf,1,0.013743162155151367,0.0
uf75-099.cnf,1,0.008565425872802734,0.0
