Filename,Result,Runtime (s),Memory Usage (KB)
uf50-01.cnf,1,0.023035764694213867,324.0
uf50-0100.cnf,1,0.03686857223510742,264.0
uf50-0101.cnf,1,0.04078245162963867,0.0
uf50-01000.cnf,1,0.09377813339233398,0.0
uf50-010.cnf,1,0.01665973663330078,0.0
uf50-0102.cnf,1,0.01641988754272461,0.0
uf50-0103.cnf,1,0.0046579837799072266,0.0
uf50-0104.cnf,1,0.14464926719665527,0.0
uf50-0105.cnf,1,0.027385234832763672,0.0
uf50-0106.cnf,1,0.0923161506652832,0.0
uf50-0107.cnf,1,0.16094112396240234,0.0
uf50-0109.cnf,1,0.0793294906616211,0.0
uf50-0108.cnf,1,0.023256778717041016,0.0
uf50-011.cnf,1,0.03134727478027344,0.0
uf50-0110.cnf,1,0.02346968650817871,0.0
uf50-0111.cnf,1,0.15567755699157715,0.0
uf50-0112.cnf,1,0.08817815780639648,0.0
uf50-0113.cnf,1,0.01010274887084961,0.0
uf50-0114.cnf,1,0.0355226993560791,0.0
uf50-0115.cnf,1,0.0050487518310546875,0.0
uf50-0116.cnf,1,0.019750118255615234,0.0
uf50-0117.cnf,1,0.003480195999145508,0.0
uf50-0118.cnf,1,0.12804508209228516,0.0
uf50-0119.cnf,1,0.008274555206298828,0.0
uf50-012.cnf,1,0.05746603012084961,0.0
uf50-0120.cnf,1,0.0635368824005127,0.0
uf50-0121.cnf,1,0.005342245101928711,0.0
uf50-0122.cnf,1,0.08209347724914551,0.0
uf50-0123.cnf,1,0.00559234619140625,0.0
uf50-0124.cnf,1,0.1197960376739502,0.0
uf50-0125.cnf,1,0.06308746337890625,0.0
uf50-0126.cnf,1,0.08897900581359863,0.0
uf50-0127.cnf,1,0.00798940658569336,0.0
uf50-0128.cnf,1,0.03484535217285156,0.0
uf50-0129.cnf,1,0.042638540267944336,0.0
uf50-013.cnf,1,0.03525352478027344,0.0
uf50-0130.cnf,1,0.019427061080932617,0.0
uf50-0131.cnf,1,0.011311769485473633,0.0
uf50-0132.cnf,1,0.01459360122680664,0.0
uf50-0133.cnf,1,0.08429670333862305,0.0
uf50-0134.cnf,1,0.06531715393066406,0.0
uf50-0135.cnf,1,0.01373744010925293,0.0
uf50-0136.cnf,1,0.0037581920623779297,0.0
uf50-0137.cnf,1,0.041318416595458984,0.0
uf50-0138.cnf,1,0.005015850067138672,0.0
uf50-0139.cnf,1,0.009734630584716797,0.0
uf50-014.cnf,1,0.006920337677001953,0.0
uf50-0140.cnf,1,0.0034248828887939453,0.0
uf50-0141.cnf,1,0.007588863372802734,0.0
uf50-0142.cnf,1,0.04513216018676758,0.0
uf50-0143.cnf,1,0.2261066436767578,0.0
uf50-0144.cnf,1,0.007100343704223633,0.0
uf50-0145.cnf,1,0.03822827339172363,0.0
uf50-0146.cnf,1,0.028899669647216797,0.0
uf50-0147.cnf,1,0.09181737899780273,0.0
uf50-0148.cnf,1,0.0081634521484375,0.0
uf50-0149.cnf,1,0.00475311279296875,0.0
uf50-015.cnf,1,0.022574901580810547,0.0
uf50-0150.cnf,1,0.006656646728515625,0.0
uf50-0151.cnf,1,0.015208244323730469,0.0
uf50-0152.cnf,1,0.13567328453063965,0.0
uf50-0153.cnf,1,0.0632772445678711,0.0
uf50-0154.cnf,1,0.044059038162231445,0.0
uf50-0155.cnf,1,0.060237884521484375,0.0
