Filename,Result,Runtime (s),Memory Usage (KB)
uuf75-01.cnf,0,0.01644158363342285,0.0
uuf75-011.cnf,0,0.009465932846069336,0.0
uuf75-0100.cnf,0,0.016307353973388672,0.0
uuf75-012.cnf,0,0.01974654197692871,0.0
uuf75-010.cnf,0,0.02528858184814453,0.0
uuf75-013.cnf,0,0.016335248947143555,0.0
uuf75-014.cnf,0,0.02891397476196289,0.0
uuf75-016.cnf,0,0.021546363830566406,420.0
uuf75-015.cnf,0,0.016864299774169922,0.0
uuf75-017.cnf,0,0.01587200164794922,0.0
uuf75-018.cnf,0,0.010576725006103516,0.0
uuf75-019.cnf,0,0.01330423355102539,0.0
uuf75-020.cnf,0,0.02208542823791504,0.0
uuf75-02.cnf,0,0.007570505142211914,0.0
uuf75-021.cnf,0,0.014764070510864258,0.0
uuf75-022.cnf,0,0.011479377746582031,0.0
uuf75-023.cnf,0,0.0238344669342041,0.0
uuf75-025.cnf,0,0.012840986251831055,0.0
uuf75-024.cnf,0,0.014914274215698242,0.0
uuf75-026.cnf,0,0.012838125228881836,0.0
uuf75-028.cnf,0,0.015941619873046875,0.0
uuf75-029.cnf,0,0.02996683120727539,0.0
uuf75-03.cnf,0,0.015752792358398438,0.0
uuf75-027.cnf,0,0.015691757202148438,0.0
uuf75-030.cnf,0,0.011658191680908203,0.0
uuf75-032.cnf,0,0.019042491912841797,0.0
uuf75-031.cnf,0,0.016884326934814453,0.0
uuf75-034.cnf,0,0.018514156341552734,0.0
uuf75-033.cnf,0,0.009497404098510742,0.0
uuf75-035.cnf,0,0.0248415470123291,0.0
uuf75-037.cnf,0,0.009320974349975586,0.0
uuf75-036.cnf,0,0.025753021240234375,0.0
uuf75-038.cnf,0,0.018254756927490234,0.0
uuf75-039.cnf,0,0.029894113540649414,0.0
uuf75-04.cnf,0,0.01730656623840332,0.0
uuf75-040.cnf,0,0.018460988998413086,0.0
uuf75-041.cnf,0,0.03027796745300293,0.0
uuf75-042.cnf,0,0.0247194766998291,0.0
uuf75-043.cnf,0,0.00926661491394043,0.0
uuf75-044.cnf,0,0.014983654022216797,0.0
uuf75-045.cnf,0,0.010113954544067383,0.0
uuf75-046.cnf,0,0.013431787490844727,0.0
uuf75-047.cnf,0,0.02152705192565918,0.0
uuf75-048.cnf,0,0.023348093032836914,0.0
uuf75-049.cnf,0,0.014380455017089844,0.0
uuf75-05.cnf,0,0.021819353103637695,0.0
uuf75-050.cnf,0,0.026837587356567383,0.0
uuf75-052.cnf,0,0.010607242584228516,0.0
uuf75-051.cnf,0,0.014362573623657227,0.0
uuf75-053.cnf,0,0.014730691909790039,0.0
uuf75-054.cnf,0,0.018537044525146484,0.0
uuf75-055.cnf,0,0.009235382080078125,0.0
uuf75-056.cnf,0,0.014746427536010742,0.0
uuf75-057.cnf,0,0.03293013572692871,0.0
uuf75-058.cnf,0,0.012710809707641602,0.0
uuf75-059.cnf,0,0.019392728805541992,0.0
uuf75-06.cnf,0,0.015169620513916016,0.0
uuf75-060.cnf,0,0.015105962753295898,0.0
uuf75-061.cnf,0,0.018242835998535156,0.0
uuf75-062.cnf,0,0.01279902458190918,0.0
uuf75-063.cnf,0,0.008770227432250977,0.0
uuf75-064.cnf,0,0.015029668807983398,0.0
uuf75-065.cnf,0,0.013495922088623047,0.0
uuf75-066.cnf,0,0.02065300941467285,0.0
uuf75-067.cnf,0,0.019939184188842773,0.0
uuf75-068.cnf,0,0.019507169723510742,0.0
uuf75-069.cnf,0,0.023565292358398438,0.0
uuf75-07.cnf,0,0.014050483703613281,0.0
uuf75-070.cnf,0,0.01883983612060547,0.0
uuf75-071.cnf,0,0.017983198165893555,0.0
uuf75-072.cnf,0,0.016028404235839844,0.0
uuf75-073.cnf,0,0.024453163146972656,0.0
uuf75-074.cnf,0,0.013806581497192383,0.0
uuf75-075.cnf,0,0.02001953125,0.0
uuf75-076.cnf,0,0.012004852294921875,0.0
uuf75-077.cnf,0,0.012871503829956055,0.0
uuf75-078.cnf,0,0.011203527450561523,0.0
uuf75-079.cnf,0,0.014209747314453125,0.0
uuf75-08.cnf,0,0.0181882381439209,0.0
uuf75-080.cnf,0,0.009410619735717773,0.0
uuf75-081.cnf,0,0.0174558162689209,0.0
uuf75-082.cnf,0,0.010647058486938477,0.0
uuf75-083.cnf,0,0.012647867202758789,0.0
uuf75-084.cnf,0,0.02188563346862793,0.0
uuf75-085.cnf,0,0.0126190185546875,0.0
uuf75-086.cnf,0,0.014713287353515625,0.0
uuf75-087.cnf,0,0.013523340225219727,0.0
uuf75-088.cnf,0,0.013349533081054688,0.0
uuf75-089.cnf,0,0.01573014259338379,0.0
uuf75-09.cnf,0,0.00788569450378418,0.0
uuf75-090.cnf,0,0.005708456039428711,0.0
uuf75-091.cnf,0,0.011763811111450195,0.0
uuf75-092.cnf,0,0.014688491821289062,0.0
uuf75-093.cnf,0,0.007899761199951172,0.0
uuf75-094.cnf,0,0.01744842529296875,0.0
uuf75-095.cnf,0,0.018845081329345703,0.0
uuf75-096.cnf,0,0.014571905136108398,0.0
uuf75-097.cnf,0,0.017868995666503906,0.0
uuf75-098.cnf,0,0.005791425704956055,0.0
uuf75-099.cnf,0,0.014348983764648438,0.0
